"","participant","age","place","item","value","agreement","Sum","Svartid"
"174","21797789","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","34 sekund"
"175","21797869","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 4 sekund"
"176","21797870","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 44 sekund"
"177","21797873","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 18 sekund"
"178","21797883","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 59 sekund"
"179","21797899","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 4 sekund"
"180","21797902","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 3 sekund"
"181","21797903","50-59","Volda/Ålesund","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 20 sekund"
"182","21797905","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt"
"183","21797910","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 26 sekund"
"184","21797948","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 41 sekund"
"185","21798161",">70","Sula","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 1 sekund"
"186","21798201","60-69","Hareid","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 3 sekund"
"187","21798203","60-69","Ørsts","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 23 sekund"
"188","21798250","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt"
"189","21798251","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","50 sekund"
"190","21798254","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 31 sekund"
"191","21798753","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 20 sekund"
"192","21799060","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","53 sekund"
"193","21799065","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 25 sekund"
"194","21799068","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 13 sekund"
"195","21799069","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","51 sekund"
"196","21799070","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 33 sekund"
"197","21799073","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 19 sekund"
"198","21799080","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 11 sekund"
"199","21799083","60-69","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 16 sekund"
"200","21799087","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","54 sekund"
"201","21799088","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","55 sekund"
"202","21799090","40-49","Ørsts","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 34 sekund"
"203","21799098","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 44 sekund"
"204","21799221","60-69","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 21 sekund"
"205","21799621","60-69","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 23 sekund"
"206","21799633","40-49","Herøy","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 11 sekund"
"207","21799636","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 28 sekund"
"208","21799642","60-69","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 43 sekund"
"209","21799657","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 23 sekund"
"210","21799684","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 6 sekund"
"211","21800065","40-49","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","5 timar 44 minutt 2 sekund"
"212","21800070","30-39","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","3 minutt 14 sekund"
"213","21800075","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 36 sekund"
"214","21800103","50-59","Herøy","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 3 sekund"
"215","21800119","50-59","volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 59 sekund"
"216","21800121","50-59","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 5 sekund"
"217","21800183","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 24 sekund"
"218","21800187",">70","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 34 sekund"
"219","21800243","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 14 sekund"
"220","21800245","50-59","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 5 sekund"
"221","21800254","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 25 sekund"
"222","21800258",">70","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 1 sekund"
"223","21800316","40-49","Volda","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","58 sekund"
"224","21800337","50-59","Vanylven","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 26 sekund"
"225","21800349","60-69","Ørsta","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","2 minutt 7 sekund"
"226","21800383","60-69","Ålesund","Veiane.va..BYGD...BYGDE..i.fjor","bygde",1,"0","1 minutt 40 sekund"
"227","21794624","30-39","Fjord","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 48 sekund"
"228","21794643","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","2 minutt 14 sekund"
"229","21794680","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 33 sekund"
"230","21794690","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 2 sekund"
"231","21794763","20-29","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","52 sekund"
"232","21794764","40-49","Ulstein","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 1 sekund"
"233","21794767","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 4 sekund"
"234","21794772","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 26 sekund"
"235","21794785","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 6 sekund"
"236","21794818","30-39","Sula","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","45 sekund"
"237","21794822","20-29","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 4 sekund"
"238","21794833","50-59","Ulstein","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","3 minutt 16 sekund"
"239","21794836","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 36 sekund"
"240","21794857","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 1 sekund"
"241","21794858","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 1 sekund"
"242","21794859","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 18 sekund"
"243","21794954","40-49","Sykkylven","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 14 sekund"
"244","21794967","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 12 sekund"
"245","21794973","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","49 sekund"
"246","21794976","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 48 sekund"
"247","21794979","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","2 minutt 3 sekund"
"248","21794985","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 5 sekund"
"249","21794987","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 53 sekund"
"250","21794995","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 35 sekund"
"251","21794996","20-29","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 18 sekund"
"252","21795014","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 10 sekund"
"253","21795036","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 21 sekund"
"254","21795069","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","50 sekund"
"255","21795144","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","4 minutt 1 sekund"
"256","21795145","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 15 sekund"
"257","21795165","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","2 minutt 6 sekund"
"258","21795169","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 13 sekund"
"259","21795197","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","53 sekund"
"260","21795200","30-39","Giske","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 25 sekund"
"261","21795381","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 11 sekund"
"262","21795408","50-59","Ålesund","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 16 sekund"
"263","21795479","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 29 sekund"
"264","21795513","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 18 sekund"
"265","21795524","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","41 sekund"
"266","21795541","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 29 sekund"
"267","21795552","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 41 sekund"
"268","21795563","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 20 sekund"
"269","21795844","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","41 sekund"
"270","21795853","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","51 sekund"
"271","21795968","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","4 minutt 28 sekund"
"272","21795972","20-29","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 49 sekund"
"273","21796001","30-39","Fjord","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","54 sekund"
"274","21796034","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 18 sekund"
"275","21796058","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 53 sekund"
"276","21796066","60-69","Ålesund","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 4 sekund"
"277","21796075","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt"
"278","21796079","30-39","Ørstinje","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 26 sekund"
"279","21796110","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 2 sekund"
"280","21796124","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 4 sekund"
"281","21796194","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","45 sekund"
"282","21796195","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","55 sekund"
"283","21796242","60-69","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","54 sekund"
"284","21796244","60-69","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","4 minutt 19 sekund"
"285","21796269","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 57 sekund"
"286","21796274","40-49","Ørsta/Vanylven","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 43 sekund"
"287","21796405","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 29 sekund"
"288","21796445","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 38 sekund"
"289","21797461","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 14 sekund"
"290","21797475","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","58 sekund"
"291","21797736","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","3 minutt 21 sekund"
"292","21797778","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 2 sekund"
"293","21797780","50-59","Ulstein","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 13 sekund"
"294","21797850","<20","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","28 sekund"
"295","21797870","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 44 sekund"
"296","21797881","50-59","Herøy","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 49 sekund"
"297","21797883","60-69","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 59 sekund"
"298","21797884","50-59","Vanylven","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 23 sekund"
"299","21797900","30-39","Ålesund","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 31 sekund"
"300","21797905","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt"
"301","21797910","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 26 sekund"
"302","21798200","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","52 sekund"
"303","21798203","60-69","Ørsts","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 23 sekund"
"304","21798209","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","3 minutt 42 sekund"
"305","21798212","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 49 sekund"
"306","21798255","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 15 sekund"
"307","21799069","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","51 sekund"
"308","21799221","60-69","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 21 sekund"
"309","21799646","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 48 sekund"
"310","21799657","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 23 sekund"
"311","21800055","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 5 sekund"
"312","21800208","20-29","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 2 sekund"
"313","21800230","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","57 sekund"
"314","21800251","50-59","Herøy","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 14 sekund"
"315","21800397","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelt",0,"0","1 minutt 9 sekund"
"316","21794093","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","2 minutt 6 sekund"
"317","21794628","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","44 sekund"
"318","21794667","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","58 sekund"
"319","21794670","60-69","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","59 sekund"
"320","21794673","60-69","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 8 sekund"
"321","21794675","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 5 sekund"
"322","21794681","60-69","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","3 minutt 56 sekund"
"323","21794683","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","49 sekund"
"324","21794685","60-69","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","2 minutt 16 sekund"
"325","21794696","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 36 sekund"
"326","21794699","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","2 minutt 2 sekund"
"327","21794761","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","47 sekund"
"328","21794780","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","47 sekund"
"329","21794798","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 13 sekund"
"330","21794801","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","46 sekund"
"331","21794831","50-59","Ørsta (utflytta i over 35 år)","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 32 sekund"
"332","21794832","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 29 sekund"
"333","21794834","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 29 sekund"
"334","21794945","50-59","Vanylven","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 5 sekund"
"335","21794946","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 18 sekund"
"336","21794947","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 8 sekund"
"337","21794952","30-39","Vanylven","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","51 sekund"
"338","21794968","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 42 sekund"
"339","21794974","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","20 sekund"
"340","21794984","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","56 sekund"
"341","21794993","40-49","Ulstein Kommune","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 18 sekund"
"342","21794998","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","37 sekund"
"343","21795000","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 10 sekund"
"344","21795004","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","2 minutt 21 sekund"
"345","21795022","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 2 sekund"
"346","21795037","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 33 sekund"
"347","21795052","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","3 minutt 13 sekund"
"348","21795054","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","41 sekund"
"349","21795056","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","2 minutt 13 sekund"
"350","21795058",">70","Herøy","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","3 minutt 15 sekund"
"351","21795066","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 47 sekund"
"352","21795070","60-69","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 11 sekund"
"353","21795080","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 8 sekund"
"354","21795131","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","46 sekund"
"355","21795134","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","51 sekund"
"356","21795141","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","47 sekund"
"357","21795165","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","2 minutt 6 sekund"
"358","21795170","60-69","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","35 sekund"
"359","21795187","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 26 sekund"
"360","21795199","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","44 sekund"
"361","21795208","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","43 sekund"
"362","21795210","50-59","Vanylven","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 55 sekund"
"363","21795248",">70","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 12 sekund"
"364","21795338","50-59","ØRSTA","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 22 sekund"
"365","21795351","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 43 sekund"
"366","21795360","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","2 minutt 9 sekund"
"367","21795372","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 5 sekund"
"368","21795417","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 2 sekund"
"369","21795535","50-59","volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 48 sekund"
"370","21795539","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 1 sekund"
"371","21795542",">70","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 36 sekund"
"372","21795560","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","3 minutt 34 sekund"
"373","21795561","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","47 sekund"
"374","21795564","50-59","Stranda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 35 sekund"
"375","21795566","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","2 minutt 2 sekund"
"376","21795572","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","2 minutt 14 sekund"
"377","21795590","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","50 sekund"
"378","21795837","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","58 sekund"
"379","21795841","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","55 sekund"
"380","21795846","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","42 sekund"
"381","21795858","60-69","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","54 sekund"
"382","21795877","30-39","Ørsya","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","27 sekund"
"383","21795879","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 49 sekund"
"384","21795886","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 10 sekund"
"385","21795999","40-49","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","40 sekund"
"386","21796000","50-59","Voldinje","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 21 sekund"
"387","21796020","50-59","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","54 sekund"
"388","21796037","30-39","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 1 sekund"
"389","21796046","50-59","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 16 sekund"
"390","21796071","50-59","Sande","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","48 sekund"
"391","21796078","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 34 sekund"
"392","21796082",">70","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 27 sekund"
"393","21796091","40-49","Ørsta","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","3 minutt 56 sekund"
"394","21796098","30-39","Volda","Premiane.va..UTDELT...UTDELTE..på.skulen","utdelte",1,"0","1 minutt 18 sekund"
