"publikasjon","full_titel","ordklasse","frekvens","ratio"
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","verb",3277,0.156
"helseplager","Kvinners ubestemte helseplager","verb",3440,0.175
"rødt","Rødt!","verb",3030,0.161
"seileeventyr","Et seileeventyr i økologi","verb",3162,0.161
"filmopplevelse","Den reflekterte filmopplevelse","verb",2741,0.165
"vårt_land","Vårt Land","verb",3120,0.156
"jakt_og_fiske","Jakt & fiske","verb",2895,0.172
"amnesty_nytt","Amnesty Nytt","verb",3235,0.168
"barnebok","Barneboklesninger","verb",3265,0.139
"dagbladet","Dagblaget","verb",2807,0.177
"aftenposten","Aftenposten","verb",2768,0.155
"økonomisk","Økonomisk rapport","verb",2807,0.161
"bedre_gardsdrift","Bedre Gardsdrift","verb",2964,0.162
"adresseavisen","Adresseavisen","verb",3029,0.147
"naturen","Naturen","verb",2753,0.187
"reiser","Reiser & ferie","verb",2501,0.18
"gamereactor","Gamereactor","verb",2930,0.206
"filmmagasinet","Filmmagasinet","verb",2700,0.172
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","verb",3277,0.143
"helseplager","Kvinners ubestemte helseplager","verb",3440,0.092
"rødt","Rødt!","verb",3030,0.075
"seileeventyr","Et seileeventyr i økologi","verb",3162,0.079
"filmopplevelse","Den reflekterte filmopplevelse","verb",2741,0.069
"vårt_land","Vårt Land","verb",3120,0.081
"jakt_og_fiske","Jakt & fiske","verb",2895,0.077
"amnesty_nytt","Amnesty Nytt","verb",3235,0.064
"barnebok","Barneboklesninger","verb",3265,0.081
"dagbladet","Dagblaget","verb",2807,0.078
"aftenposten","Aftenposten","verb",2768,0.073
"økonomisk","Økonomisk rapport","verb",2807,0.07
"bedre_gardsdrift","Bedre Gardsdrift","verb",2964,0.071
"adresseavisen","Adresseavisen","verb",3029,0.079
"naturen","Naturen","verb",2753,0.074
"reiser","Reiser & ferie","verb",2501,0.069
"gamereactor","Gamereactor","verb",2930,0.095
"filmmagasinet","Filmmagasinet","verb",2700,0.071
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adjektiv",1564,0.373
"helseplager","Kvinners ubestemte helseplager","adjektiv",1755,0.389
"rødt","Rødt!","adjektiv",1607,0.461
"seileeventyr","Et seileeventyr i økologi","adjektiv",1611,0.444
"filmopplevelse","Den reflekterte filmopplevelse","adjektiv",1647,0.492
"vårt_land","Vårt Land","adjektiv",1564,0.45
"jakt_og_fiske","Jakt & fiske","adjektiv",1724,0.461
"amnesty_nytt","Amnesty Nytt","adjektiv",1675,0.445
"barnebok","Barneboklesninger","adjektiv",1394,0.453
"dagbladet","Dagblaget","adjektiv",1768,0.464
"aftenposten","Aftenposten","adjektiv",1547,0.496
"økonomisk","Økonomisk rapport","adjektiv",1607,0.489
"bedre_gardsdrift","Bedre Gardsdrift","adjektiv",1621,0.471
"adresseavisen","Adresseavisen","adjektiv",1472,0.471
"naturen","Naturen","adjektiv",1868,0.464
"reiser","Reiser & ferie","adjektiv",1799,0.501
"gamereactor","Gamereactor","adjektiv",2055,0.407
"filmmagasinet","Filmmagasinet","adjektiv",1716,0.488
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adjektiv",1564,0.328
"helseplager","Kvinners ubestemte helseplager","adjektiv",1755,0.344
"rødt","Rødt!","adjektiv",1607,0.303
"seileeventyr","Et seileeventyr i økologi","adjektiv",1611,0.316
"filmopplevelse","Den reflekterte filmopplevelse","adjektiv",1647,0.274
"vårt_land","Vårt Land","adjektiv",1564,0.312
"jakt_og_fiske","Jakt & fiske","adjektiv",1724,0.289
"amnesty_nytt","Amnesty Nytt","adjektiv",1675,0.323
"barnebok","Barneboklesninger","adjektiv",1394,0.326
"dagbladet","Dagblaget","adjektiv",1768,0.281
"aftenposten","Aftenposten","adjektiv",1547,0.277
"økonomisk","Økonomisk rapport","adjektiv",1607,0.281
"bedre_gardsdrift","Bedre Gardsdrift","adjektiv",1621,0.296
"adresseavisen","Adresseavisen","adjektiv",1472,0.303
"naturen","Naturen","adjektiv",1868,0.275
"reiser","Reiser & ferie","adjektiv",1799,0.25
"gamereactor","Gamereactor","adjektiv",2055,0.293
"filmmagasinet","Filmmagasinet","adjektiv",1716,0.27
"hjorthen","Hjorthen uttaler seg om ting han ikke har greie på","adjektiv",1564,0.156
"helseplager","Kvinners ubestemte helseplager","adjektiv",1755,0.175
"rødt","Rødt!","adjektiv",1607,0.161
"seileeventyr","Et seileeventyr i økologi","adjektiv",1611,0.161
